DataSeriesID,rate,temp,Bioname,unit,curve_id
386606,0.657,5,Beauveria,millimeter / (1 individual * 1 day),1
386606,1.22,10,Beauveria,millimeter / (1 individual * 1 day),1
386606,1.55,15,Beauveria,millimeter / (1 individual * 1 day),1
386606,2.33,20,Beauveria,millimeter / (1 individual * 1 day),1
386606,4.31,25,Beauveria,millimeter / (1 individual * 1 day),1
386606,3.12,30,Beauveria,millimeter / (1 individual * 1 day),1
386606,1.02,35,Beauveria,millimeter / (1 individual * 1 day),1
387294,0.57,5,Beauveria,millimeter / (1 individual * 1 day),2
387294,0.88,10,Beauveria,millimeter / (1 individual * 1 day),2
387294,1.39,15,Beauveria,millimeter / (1 individual * 1 day),2
387294,2.36,20,Beauveria,millimeter / (1 individual * 1 day),2
387294,2.49,25,Beauveria,millimeter / (1 individual * 1 day),2
387294,2.17,30,Beauveria,millimeter / (1 individual * 1 day),2
387294,0,35,Beauveria,millimeter / (1 individual * 1 day),2
386696,0.757,5,Beauveria,millimeter / (1 individual * 1 day),3
386696,1.09,10,Beauveria,millimeter / (1 individual * 1 day),3
386696,1.61,15,Beauveria,millimeter / (1 individual * 1 day),3
386696,2.24,20,Beauveria,millimeter / (1 individual * 1 day),3
386696,3.27,25,Beauveria,millimeter / (1 individual * 1 day),3
386696,2.61,30,Beauveria,millimeter / (1 individual * 1 day),3
386696,0,35,Beauveria,millimeter / (1 individual * 1 day),3
232818,0.557,5,Beauveria,millimeter / (1 individual * 1 day),4
232818,1.16,10,Beauveria,millimeter / (1 individual * 1 day),4
232818,1.68,15,Beauveria,millimeter / (1 individual * 1 day),4
232818,2.6,20,Beauveria,millimeter / (1 individual * 1 day),4
232818,4.79357,25,Beauveria,millimeter / (1 individual * 1 day),4
232818,2.15,30,Beauveria,millimeter / (1 individual * 1 day),4
232818,0,35,Beauveria,millimeter / (1 individual * 1 day),4
386608,0.51,5,Beauveria,millimeter / (1 individual * 1 day),5
386608,1.09,10,Beauveria,millimeter / (1 individual * 1 day),5
386608,1.67,15,Beauveria,millimeter / (1 individual * 1 day),5
386608,2.23,20,Beauveria,millimeter / (1 individual * 1 day),5
386608,3.89,25,Beauveria,millimeter / (1 individual * 1 day),5
386608,3.24,30,Beauveria,millimeter / (1 individual * 1 day),5
386608,0.99,35,Beauveria,millimeter / (1 individual * 1 day),5
386607,0.73,5,Beauveria,millimeter / (1 individual * 1 day),6
386607,1.21,10,Beauveria,millimeter / (1 individual * 1 day),6
386607,1.88,15,Beauveria,millimeter / (1 individual * 1 day),6
386607,2.18,20,Beauveria,millimeter / (1 individual * 1 day),6
386607,3.68,25,Beauveria,millimeter / (1 individual * 1 day),6
386607,2.71,30,Beauveria,millimeter / (1 individual * 1 day),6
386607,1.05,35,Beauveria,millimeter / (1 individual * 1 day),6
358840,0.778,5,Beauveria,millimeter / (1 individual * 1 day),7
358840,1.25,10,Beauveria,millimeter / (1 individual * 1 day),7
358840,1.96,15,Beauveria,millimeter / (1 individual * 1 day),7
358840,2.52,20,Beauveria,millimeter / (1 individual * 1 day),7
358840,3.07,25,Beauveria,millimeter / (1 individual * 1 day),7
358840,1.76,30,Beauveria,millimeter / (1 individual * 1 day),7
358840,0,35,Beauveria,millimeter / (1 individual * 1 day),7
331269,0.64,5,Beauveria,millimeter / (1 individual * 1 day),8
331269,1.4,10,Beauveria,millimeter / (1 individual * 1 day),8
331269,2.05,15,Beauveria,millimeter / (1 individual * 1 day),8
331269,2.38,20,Beauveria,millimeter / (1 individual * 1 day),8
331269,3.43,25,Beauveria,millimeter / (1 individual * 1 day),8
331269,1.77,30,Beauveria,millimeter / (1 individual * 1 day),8
331269,0,35,Beauveria,millimeter / (1 individual * 1 day),8
170149,0,5,Metarhizium,millimeter / (1 individual * 1 day),9
170149,0.69,10,Metarhizium,millimeter / (1 individual * 1 day),9
170149,2.04,15,Metarhizium,millimeter / (1 individual * 1 day),9
170149,2.46,20,Metarhizium,millimeter / (1 individual * 1 day),9
170149,3,25,Metarhizium,millimeter / (1 individual * 1 day),9
170149,2.63,30,Metarhizium,millimeter / (1 individual * 1 day),9
170149,0.96,35,Metarhizium,millimeter / (1 individual * 1 day),9
98375,0.62,5,Metarhizium,millimeter / (1 individual * 1 day),10
98375,1.56,10,Metarhizium,millimeter / (1 individual * 1 day),10
98375,3.57,15,Metarhizium,millimeter / (1 individual * 1 day),10
98375,5.5,20,Metarhizium,millimeter / (1 individual * 1 day),10
98375,6.29,25,Metarhizium,millimeter / (1 individual * 1 day),10
98375,6.21,30,Metarhizium,millimeter / (1 individual * 1 day),10
98375,3.15,35,Metarhizium,millimeter / (1 individual * 1 day),10
